TextBlob_Analysis Biden Inflation,TextBlob_Analysis Trump Inflation,TextBlob_Analysis Biden Immigration,TextBlob_Analysis Trump Immigration,variable,value
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.122795128
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.122222222
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.084982544
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.099507389
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.134523693
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.135242031
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.08001443
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.106398242
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.07252551
Positive,Negative,Positive,Positive,Polarity:  Biden Inflation,0.026661905
Negative,Positive,Positive,Neutral,Polarity:  Biden Inflation,-0.082010582
Negative,Positive,Negative,Positive,Polarity:  Biden Inflation,-0.003660714
Negative,Positive,Positive,Positive,Polarity:  Biden Inflation,-0.005679183
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.129473665
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.225
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.058066246
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.08445301
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.174884793
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.098039216
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.049485199
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.096978355
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.029572907
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.109571691
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.080507937
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.15
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.055555556
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.028649119
Negative,Positive,Negative,Positive,Polarity:  Biden Inflation,-0.027636878
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.08515214
Negative,Positive,Positive,Positive,Polarity:  Biden Inflation,-0.024132231
Positive,Positive,Positive,Neutral,Polarity:  Biden Inflation,0.195526696
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.083106576
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.035085461
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.027025895
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.053264558
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.048604428
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.144782017
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.031685094
Positive,Positive,Positive,Negative,Polarity:  Biden Inflation,0.078107607
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.019224341
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.065800866
Negative,Negative,Negative,Positive,Polarity:  Biden Inflation,-0.079761905
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.049251701
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.057202381
Positive,Positive,Positive,Positive,Polarity:  Biden Inflation,0.033978521
Negative,Positive,Positive,Positive,Polarity:  Biden Inflation,-0.020030585
Negative,Positive,Positive,Positive,Polarity:  Biden Inflation,-0.054878228
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.044837023
Negative,Negative,Negative,Positive,Polarity:  Biden Inflation,-0.014596273
Positive,Positive,Negative,Positive,Polarity:  Biden Inflation,0.093204121
